,Product_name,Amazon_link,Article_date,Product_desc
0,"
        Aries (Ram) March 21 – April 20

                    
",http://www.amazon.com/dp/B004BCXEF6/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|sale,"Mar 25, 2019","Aries Celebs: Victoria Beckham, Keira Knightley, Sarah Jessica Parker, Mariah Carey, Celine Dion, Lady Gaga, Emma WatsonHappy Aries season, y’all! The first of 12 zodiac signs, you'll recognize the ram for her goal-oriented dedication. The AstroTwins acknowledge her as a trailblazer and self-starter. The ram never begins a project she doesn't intend to finish. A well-rehearsed beauty regimen fits into her priorities, because although makeup may not rank in her top three to-dos, she can be a little self-centered. This, however, only benefits her in the long run."
1,L'Oréal Paris Voluminous Original Carbon Black Waterproof Mascara,http://www.amazon.com/dp/B0034E103K/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|sale,"Mar 25, 2019",Self-confident leading ladies like an Aries need to be fully equipped with winkworthy lashes! Shop the top-rated Voluminous Original mascara by L'Oréal to bolster thickness and amp up the volume.
2,OPI Nail Lacquer in Big Apple Red,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fshop.nordstrom.com%2Fs%2Fnurse-jamie-uplift-facial-massaging-beauty-roller%2F4699630&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","This sign loves to make a statement, and what better way than with red-hot nails? Swap softer hues for a brighter shade like Big Apple Red from OPI to show off your flashy side."
3,Nurse Jamie UpLift Facial Massaging Beauty Roller,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.sephora.com%3A443%2Fproduct%2Fbigger-bolder-brows-kit-P410748&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Roll like an Aries by experimenting with innovative beauty gadgets! This tool from Nurse Jamie will lift, revive, and tighten the skin with use over time. Simply roll the textured end of the tool on your face to instantly ignite an energizing and tightening sensation across your skin — it's like the gym for your face! "
4,Benefit Cosmetics Bigger & Bolder Brows Kit,http://www.amazon.com/dp/B06XRYQ1XB/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019","Striking a solid stance in both her look and her opinions, bold brows are a must for every Aries. This brow kit by Benefit Cosmetics includes all the tools she needs to trim, brush, and fill her brows to perfection. "
5,Mystic Moments Aries Essential Oil Blend,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.ulta.com%2Fvenus-xl-2-pressed-powder-eyeshadow-palette%3FproductId%3Dpimprod2003026&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","An Aries can be known for their fiery temperament. This essential oil from Mystic Moments will help calm the passionate Aries, as well as provide relief for anyone with headaches."
6,"
        Taurus (Bull) April 20 – May 20

                    
",https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fshop.nordstrom.com%2Fs%2Fdior-vernis-gel-shine-long-wear-nail-lacquer%2F3717457&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Taurus Celebs: Adele, Donatella Versace, Cher, Gigi Hadid, Lena DunhamWe'd all like to be number one — but for the Taurus, it's not just a goal, it's a lifestyle. The bull is a symbol of power, a force not to be reckoned with on a bad day. Per the AstroTwins, she works hard for her money and her status, and she'll only accept what is worth the investment. Looking at her celebrity counterparts, it's easy to spot a Taurus based on their big personality."
7,Lime Crime Venus XL 2 Pressed Powder Eyeshadow Palette,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fshop.nordstrom.com%2Fs%2Fchanel-coco-mademoiselle-eau-de-parfum-spray%2F2826845&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019",A balance of bold classics and experimental ornamentation is perfect for a Taurus. Shop this all-in-one eyeshadow palette that's filled with all the tones an earthy Taurus needs to showcase the windows to her soul.
8,Dior Vernis Gel Shine & Long Wear Nail Lacquer,http://www.amazon.com/dp/B00I3VHKVK/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019",A barely-there nude nail is always a safe bet for the subtly reserved Taurus. This top-rated nail varnish by Dior has low-key mauve undertones and is an advanced formula that provides a glossy shine that lasts.
9,Chanel Coco Mademoiselle Eau De Parfum Spray,http://www.amazon.com/dp/B01M1NBFDD/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019",Classy is key for this sign! Shop Chanel Coco Mademoiselle perfume for a well-balanced scent of fresh floral and oriental exoticism — a 5-star-rated perfume at Nordstrom.
10,BS-MALL Premium Makeup Brush Set ,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.sephora.com%2Fproduct%2Fperfume-travel-sampler-P440919&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019",New brushes are like a whole new world for a gal's beauty routine — especially a practical Taurus who likely switches these out regularly! Upgrade her tools to these quality and extremely budget-friendly beauty tools. The set includes 10 essential brushes to perfect her flawless face with ease.
11,Maybelline New York Color Sensational Lipstick in Peach Buff,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.ulta.com%2Fhighlighting-duo-pencil%3FproductId%3DxlsImpprod1500564&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","It doesn't get more natural than this shade. Maybelline's peachy nude is your lip color, but better. Made from the brand's signature matte formula, it'll give your pout the perfect color that'll last all day."
12,"
        Gemini (Twins) May 21 – June 20

                    
",http://www.amazon.com/dp/B001IAINFU/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019","Gemini Celebs: Angelina Jolie, Alanis Morissette, Amy Schumer, the Olsen twinsGemini ladies are irresistibly charming, but there's a reason for the twinning symbol: double the trouble. The AstroTwins deemed them as adventurous and witty, creative and trendy, and they're also recognized for spurts of restlessness, throwing judgmental shade, and being a tad, well, two-faced (but who doesn't have those moments?!)."
13,Sephora Favorites Perfume Travel Sampler,http://www.amazon.com/dp/B00YO3VRHO/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019","Before she makes the leap to a permanent scent, expect her to play with fragrances to find her perfect match. Opt for this sampler perfume pack from Sephora, which features seven of the retailer's most sought-after scents — and that's only the beginning. The box also comes with a scent certificate that you can take to any U.S. Sephora store to redeem for another travel-sized bottle of your favorite featured fragrance."
14,Anastasia Beverly Hills Highlighting Duo Pencil,http://www.amazon.com/dp/B07NJCW8PP/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019","Geminis are known for their double-sided nature, so this double-ended pencil from Anastasia is perfect. The fickle Gemini shouldn't have too much trouble customizing her look to her liking with this versatile highlighting pencil."
15,L'Oréal Paris Makeup Double Extend Beauty Tubes 2 Step Mascara,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fshop.nordstrom.com%2Fs%2Fmac-red-lipstick%2F4499662&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Symbolizing a set of twins, we just couldn't resist featuring a 2-in-1 mascara, and this L'Oréal pick is one not to miss. Coat your lashes from root to tip with the lengthening primer for maximum extension, and flip the wand over to layer on the bold black color."
16,ILIA Beauty Multi-Stick,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.sephora.com%2Fproduct%2Fsilk-pillowcase-standard-queen-P402944&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","ILIA Multi-Sticks are a top pick in our book due to their organic ingredients, saturated colors, and all-around versatility. Infused with shea butter, avocado oil, and vitamin E, any Gemini will have no problem experimenting with this kick of color on their lips, cheeks, or eyes."
17,Cirque Colors Color Changing Mood Nail Polish,http://www.amazon.com/dp/B00172O9NO/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019","This sign is all about morphing and changing — so why not swap one of her classic nail hues for this eye-catching, color-changing polish? Paint on this mood nail polish and as soon as her nails are exposed to a change in temperature (or temperament) it'll reveal a new shade."
18,"
        Cancer (Crab) June 21 – July 22

                    
",https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.sephora.com%2Fproduct%2Flavender-harvest-foaming-bath-P39950&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Cancer Celebs: Meryl Streep, Ariana Grande, Selena Gomez, Khloe Kardashian, Gisele Bündchen, Vera WangThe Cancer is every bit of the sunshine baby you'd imagine; recognized by the AstroTwins as helpful, a homebody, romantic, and emotional — she's basically summer vacation personified.  Welcoming the season, she was born to nurture others, but when hosting and being the center of attention becomes off-putting, you'll catch a Cancer isolating herself from the crowd for a little ""me"" time."
19,MAC Retro Matte Ruby Woo Lipstick,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.sephora.com%2Fproduct%2Fdesert-dusk-eyeshadow-palette-P424149&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Given that the ruby is Cancer's birthstone, it was only fitting to include one of MAC's most noteworthy shades, Ruby Woo. The creme composition swipes on lips smoothly for a flawless, semi-matte finish of bold saturated color."
20,Slip Silk Pillowcase,http://www.amazon.com/dp/B01LEMSEIW/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019","This sign is all about curating an unbelievably cozy home environment. Shop these silk pillowcases by Slip for an amazing addition to her bedroom. Made of the highest-grade mulberry silk, these pillowcases prevent fine lines, reduce split ends, and de-frizz unruly bed head."
21,"Mario Badescu Facial Spray with Aloe, Herbs and Rosewater",https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.sephora.com%2Fproduct%2Feverlasting-love-liquid-lipstick-P384954&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Although her natural, dewy glow radiates year-round, this hydrating mist is a vital essential for this water symbol. She'll adore the delicate rosewater formula (fitting for her feminine persona), and she'll use the refreshing facial spray whenever her skin is tired or dehydrated."
22,L’Occitane Lavender Harvest Foaming Bath,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.sephora.com%3A443%2Fproduct%2Fnaked-flushed-P377706&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019",Soak away her stress and sensitivity with L'Occitane's lavender foaming bath bubbles. The relaxing lavender scent is made using a high-quality essential oil that was distilled using artisanal harvest techniques — a traditional method that seems fitting for a sign that's in tune with organic and nontoxic beauty.
23,"
        Leo (Lion) July 23 – August 22

                    
",https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.ulta.com%2Fstay-all-day-waterproof-liquid-eyeliner%3FproductId%3DxlsImpprod1840049&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Leo Celebs: Madonna, Demi Lovato, Mila Kunis, Kylie Jenner, Jennifer Lawrence, Anna Kendrick, Coco ChanelWhether it's her theatrical voice carrying from room to room, or the emotions written on her face, a Leo makes her presence known. The fifth sign of the zodiac, she knows no boundaries, and rest assured she'd break through anything that challenges her. Derived from fire elements, the key body parts of a Leo are the heart and spine, symbolizing their passion and unyielding tenacity. Judging from the values of celebrity Leos like Demi Lovato and Jennifer Lawrence, their protective nature is one you'll want on your side, but be wary of their aggressive tendencies, say the AstroTwins."
